model,condition,fraction_optimum,reaction,fva_minimum,fva_maximum,range
Recon3D,StachysDose_Low,0.9,ATPM,53.5605,59.5117,5.9512
Recon3D,StachysDose_Low,0.9,EX_ac_e,-2.0,-1.2561,0.7439
Recon3D,StachysDose_Low,0.9,EX_ppa_e,0.0,0.0,-0.0
Recon3D,StachysDose_Low,0.9,EX_but_e,-0.4,-0.1295,0.2705
Recon3D,StachysDose_Low,0.9,EX_co2_e,10.6735,12.18,1.5065
Recon3D,StachysDose_Low,0.9,EX_o2_e,-100.0,-10.9518,89.0482
Recon3D,StachysDose_Low,0.95,ATPM,56.5361,59.5117,2.9756
Recon3D,StachysDose_Low,0.95,EX_ac_e,-2.0,-1.6281,0.3719
Recon3D,StachysDose_Low,0.95,EX_ppa_e,0.0,0.0,-0.0
Recon3D,StachysDose_Low,0.95,EX_but_e,-0.4,-0.2647,0.1353
Recon3D,StachysDose_Low,0.95,EX_co2_e,11.4174,12.18,0.7626
Recon3D,StachysDose_Low,0.95,EX_o2_e,-100.0,-11.6846,88.3154
Recon3D,StachysDose_Low,1.0,ATPM,59.5117,59.5117,0.0
Recon3D,StachysDose_Low,1.0,EX_ac_e,-2.0,-2.0,0.0
Recon3D,StachysDose_Low,1.0,EX_ppa_e,-0.0,0.0,0.0
Recon3D,StachysDose_Low,1.0,EX_but_e,-0.4,-0.4,0.0
Recon3D,StachysDose_Low,1.0,EX_co2_e,12.18,12.18,0.0
Recon3D,StachysDose_Low,1.0,EX_o2_e,-100.0,-12.4514,87.5486
Recon3D,StachysDose_Mid,0.9,ATPM,75.8805,84.3117,8.4312
Recon3D,StachysDose_Mid,0.9,EX_ac_e,-4.0,-2.9461,1.0539
Recon3D,StachysDose_Mid,0.9,EX_ppa_e,0.0,0.0,-0.0
Recon3D,StachysDose_Mid,0.9,EX_but_e,-0.8,-0.4168,0.3832
Recon3D,StachysDose_Mid,0.9,EX_co2_e,15.6535,17.78,2.1265
Recon3D,StachysDose_Mid,0.9,EX_o2_e,-100.0,-16.2511,83.7489
Recon3D,StachysDose_Mid,0.95,ATPM,80.0961,84.3117,4.2156
Recon3D,StachysDose_Mid,0.95,EX_ac_e,-4.0,-3.4731,0.5269
Recon3D,StachysDose_Mid,0.95,EX_ppa_e,0.0,0.0,-0.0
Recon3D,StachysDose_Mid,0.95,EX_but_e,-0.8,-0.6084,0.1916
Recon3D,StachysDose_Mid,0.95,EX_co2_e,16.7074,17.78,1.0726
Recon3D,StachysDose_Mid,0.95,EX_o2_e,-100.0,-17.2892,82.7108
Recon3D,StachysDose_Mid,1.0,ATPM,84.3117,84.3117,-0.0
Recon3D,StachysDose_Mid,1.0,EX_ac_e,-4.0,-4.0,0.0
Recon3D,StachysDose_Mid,1.0,EX_ppa_e,0.0,0.0,-0.0
Recon3D,StachysDose_Mid,1.0,EX_but_e,-0.8,-0.8,0.0
Recon3D,StachysDose_Mid,1.0,EX_co2_e,17.78,17.78,0.0
Recon3D,StachysDose_Mid,1.0,EX_o2_e,-100.0,-18.3614,81.6386
Recon3D,StachysDose_High,0.9,ATPM,120.5205,133.9117,13.3912
Recon3D,StachysDose_High,0.9,EX_ac_e,-8.0,-6.3261,1.6739
Recon3D,StachysDose_High,0.9,EX_ppa_e,0.0,0.0,-0.0
Recon3D,StachysDose_High,0.9,EX_but_e,-1.6,-0.9913,0.6087
Recon3D,StachysDose_High,0.9,EX_co2_e,25.6135,28.98,3.3665
Recon3D,StachysDose_High,0.9,EX_o2_e,-100.0,-26.8497,73.1503
Recon3D,StachysDose_High,0.95,ATPM,127.2161,133.9117,6.6956
Recon3D,StachysDose_High,0.95,EX_ac_e,-8.0,-7.1631,0.8369
Recon3D,StachysDose_High,0.95,EX_ppa_e,0.0,0.0,-0.0
Recon3D,StachysDose_High,0.95,EX_but_e,-1.6,-1.2957,0.3043
Recon3D,StachysDose_High,0.95,EX_co2_e,27.2874,28.98,1.6926
Recon3D,StachysDose_High,0.95,EX_o2_e,-100.0,-28.4985,71.5015
Recon3D,StachysDose_High,1.0,ATPM,133.9117,133.9117,0.0
Recon3D,StachysDose_High,1.0,EX_ac_e,-8.0,-8.0,0.0
Recon3D,StachysDose_High,1.0,EX_ppa_e,-0.0,0.0,0.0
Recon3D,StachysDose_High,1.0,EX_but_e,-1.6,-1.6,0.0
Recon3D,StachysDose_High,1.0,EX_co2_e,28.98,28.98,0.0
Recon3D,StachysDose_High,1.0,EX_o2_e,-100.0,-30.1814,69.8186
